Paul Gerken, Bill Harris
Patricio Cornejo, Tom Leonard
Gene Scott, George Taylor
Nikola Pilic, Butch Seewagen
Dick Dell, Tico Carrero
Tom Edlefsen, Billy Knight
Charlie Pasarell, Karl Coombes
Joaquin Loyo Mayo, Jeff Robbins
John Sharpe, Armistead Neely
Richard Russell, Stanley Pasarell
Dennis Ralston, Chum Steele Iii
Jim Osborne, Barry Mackay
Ron Holmberg, Humphrey Hose
Bob Lutz, Peter Burwash
Raymond Moore, Andres Gimeno
Marcello Lara, Paul Sullivan
Dick Stockton, Bob Perry
Tony Palafox, Erik Van Dillen
Ken Rosewall, Jimmy Parker
Rod Laver, Thomaz Koch
Pancho Segura, Ian Crookenden
Cliff Drysdale, Luis Ayala
Allan Stone, Lew Gerrard
Arthur Ashe, Frank Parker
Paul Hutchins, Haroon Rahim
